Account ID,Account Name,Restaurant Street,Restaurant City/Suburb,Restaurant Postcode,Restaurant State,Country,Own Website
0019000001WG0RY,Indian Fendalton Lunch,10/250 Clyde Road,Fendalton / Christchurch,8023,NZL,New Zealand,indianfendalton.co.nz
0019000001WHOFk,Mumbai Central Indian Grill & Bistro,"Unit 6, 175 Millwater Parkway, Silverdale, Auckland",Silverdale / Auckland,932,NZL,New Zealand,mumbaicentral.co.nz
0019000001Guyp9,A Spice Bazaar Takeaways,"2, 345 Chapel rd",Flat Bush,,NZ,New Zealand,aspicebazaartakeaways.co.nz
0019000001GuypA,"Coconut Cafe, Restaurant, Takeaways & Deliveries",1240 Fenton st,Rotorua,,NZ,New Zealand,coconutcafeandrestaurant.co.nz
0019000001GuypB,Himalayan Indian Cuisine,451 Ti Rakau drv,Cumbria Downs,,NZ,New Zealand,himalayanindian.co.nz
0019000001GuypC,Masala Indian Restaurant - Botany,302 Te Irirangi drv,East Tamaki,,NZ,New Zealand,masalarestaurants.co.nz
0019000001GuypD,Pizza Home Crazy for Delivery,25 St George Street,Papatoetoe,2025,NZ,New Zealand,pizzahome.co.nz
0019000001GuypE,Punjabi Kitchen Restaurant & Takeaways - Henderson,255 Loncoln rd,Henderson,,NZ,New Zealand,punjabikitchen.co.nz
0019000001GuypF,"Raviz Indian Cuisine, Takeaways & Deliveries - Maraetai",251 Maraetai drv,Maraetai,,NZ,New Zealand,raviz.co.nz
0019000001GuypG,"Royal Challenge Indian Restaurant, Takeaways & Deliveries","B, 4085 Great North rd",Kelston,,NZ,New Zealand,royalchallenge.co.nz
0019000001GuypH,Treatz Sweets & Snacks,166 Great South rd,Papatoetoe,,NZ,New Zealand,treatzindian.co.nz
0019000001GuypI,WoW WoW WoW Japanese Delicatessen - Glenfield,407 Glenfield Road,Glenfield / Auxckland,629,NZ,New Zealand,wowx3.co.nz
0019000001GuypJ,WoW WoW WoW Japanese Delicatessen - Mt.Eden,102 Dominion rd,Mt Eden,,NZ,New Zealand,wowx3.co.nz
0019000001GuypK,WoWx3 Catering for All Occasions - Glenfield,407 Glenfield rd,Glenfield,,NZ,New Zealand,
0019000001GuypL,WoWx3 Catering for All Occasions - Mt Eden,102 Dominion rd,Mt Eden,,NZ,New Zealand,wowx3.co.nz
0019000001GsAoE,Panasia - Ponsonby,379 Parnell Rd,Parnell,,NZ,New Zealand,panasia.co.nz
0019000001GsAoF,Punjab Palace - Papakura,71 Great South Rd,Papakura,,NZ,New Zealand,punjabpalace.co.nz
0019000001GsAoG,Thai Aroma Restaurant & Takeaways - Rototuna,"Shop 24-A, Rototuna Retail, Center, Corner of Horsom Down Road, Thomas Road",Rototuna,3210,NZ,New Zealand,indianaroma.co.nz
0019000001GsAoH,Indian Aroma Restaurant & Bar - Waihi Beach,"22 Wilson Road
Waihi Beach",Waihi - WAI,,NZ,New Zealand,indianaroma.co.nz
0019000001GsAoI,Indian Aroma Restaurant & Takeaways - Whangamata,800 Port rd,Whangamata - COR,3620,NZ,New Zealand,indianaroma.co.nz
0019000001GsAoJ,Indian Aroma Restaurant & Takeaways - Te Awamutu,23 Arawata st,Te Awamutu,3800,Waikato,New Zealand,indianaroma.co.nz
0019000001GsAoK,Indian Aroma Restaurant & Takeaways -Hamilton Central,851 Victoria Street,Hamilton Central - HML,3204,NZ,New Zealand,indianaroma.co.nz
0019000001GsAoL,Kati Grill - Auckland CBD,146 Karangahape Rd,Auckland CBD,,NZ,New Zealand,katigrill.co.nz
0019000001GsAoM,Khana Kazana Takeaways (KK Fijian Indian) - Otahuhu,"1/2, 132 Great South Road",Otahuhu,,NZ,New Zealand,khana-kazana.co.nz
0019000001GsAoN,Village & Valley Bar & Kitchen,12 Oteah Valley Rd Extension,Albany,,NZ,New Zealand,
0019000001GsAuN,The Coffee Club Victoria Street - Auckland CBD,"5, 62 Victoria Street",Auckland CBD,,NZ,New Zealand,thecoffeeclubvictoriastreet.co.nz
0019000001GsAuO,Healthy Kiwi Dinners - Christchurch,"14-15, 14 Broad Street",Woolston,,NZ,New Zealand,healthykiwidinners.co.nz
0019000001GsAuP,Goody's Indian Takeaway & Deliveries - Manurewa,"4, 61 Churchill ave",Manurewa,,NZ,New Zealand,goodysindian.co.nz
0019000001GsAuQ,Courtenay Taj Restaurant - Te Aro (Lunch Only),"3, 25-29 Courtney Place",Wellington,,NZ,New Zealand,courtenaytaj.com
0019000001GsAuR,The Original California Burrito Company - Manukau,"J, 652 Great South Road",Manukau,,NZ,New Zealand,burritomanukau.co.nz
0019000001GsAuS,Indian Aroma Restaurant & Takeaways,25 Vine Street,Whangarei CBD,,NZ,New Zealand,indianaroma.co.nz
0019000001GsAuT,Wine Villa - Kelston,2 West Coast Road,Kelston,,NZ,New Zealand,winevilla.co.nz
0019000001GsAuU,Liquor Delivery - Auckland CBD,51 Hobson Street,Auckland CBD,1011,NZ,New Zealand,deliveryliquor.co.nz
0019000001GsAuV,A 2 Z Liquor,131 Apirana rd,Glen Innes,,NZ,New Zealand,boozee.co.nz
0019000001GsAuW,Taro Leaf Polynesian Cafe - Mt Roskill,169 Mt Albert Road,Mt Roskill,,NZ,New Zealand,taroleaf.co.nz
0019000001GsAwp,Shamiana Cuisines of India Restaurant & Takeaways - Queen Street - Auckland CBD,"5, 350 Queen Street",Auckland CBD,,NZ,New Zealand,shamiana-indian.co.nz
0019000001GsAwq,Shamiana Cuisines of India (Food Court) Westfield Manukau Shopping Centre _ Manukau,"F04, Level G (Food Court) Cnr Great South Road and Manukau Station Road",Manukau,,NZ,New Zealand,shamiana-indian.co.nz
0019000001GsAwr,Shamiana Cuisines of India (Food Court) Richmond Mall Shopping Centre - Richmond - Nelson,"FC4, Richmond Mall Shopping Centre - Cnr Quee,Croucher and Talbot Streets",Richmond,,NZ,New Zealand,shamiana-indian.co.nz
0019000001GsAws,Stumpy's Original Woodfired Pizza - Mt Eden,702 Dominion rd,Mt Eden,1041,NZ,New Zealand,stumpys.co.nz
0019000001GsAwt,Golden Steamboat Chinese Restaurant - Mt Eden,551 Dominion rd,Mt Eden,,NZ,New Zealand,goldensteamboat.co.nz
0019000001GsAwu,Golden Steamboat Chinese Restaurant - Albany,"G10, 5-7 Corinthian drv",Albany,,NZ,New Zealand,goldensteamboat.co.nz
0019000001GsAwv,English Dhaba - Tawa,6 Collins ave,Tawa,,NZ,New Zealand,englishdhaba.co.nz
0019000001GsAww,Castle 91 Indian Restaurant Cafe Bar - Cambridge,48 Burns Street,Leamington / Cambridge,3432,NZ,New Zealand,castle91.co.nz
0019000001GsAwx,Wok Express - Ponsonby,236 Ponsonby rd,Ponsonby,,NZ,New Zealand,wokexpress.co.nz
0019000001GsAwy,Castle 91 Indian Restaurant Cafe Bar - Otorohanga,91 Maniapoto st,Otorohanga,,NZ,New Zealand,castle91.co.nz
0019000001GsAzR,Pratha 2 Go Malaysian & South Indian Food - Kelburn,"B, 97 Upland Road",Kelburn,,NZ,New Zealand,pratha.co.nz
0019000001GsAzS,Bridge Pizza - Mangere Bridge,27 Coronation Road,Mangere Bridge,,NZ,New Zealand,bridgepizza.co.nz
0019000001GsAzT,Khana Indian for Food - Takeaways & Deliveries - St Heliers,"B, 2 Riddell Road",St Heliers,,NZ,New Zealand,khana.co.nz
0019000001GsAzU,Indian Accent,71 Lunn Avenue,Mt Wellington,,NZ,New Zealand,indianaccent.co.nz
0019000001GsAzV,Chicken Republique Takeaways & Deliveries,1863 - 1865 Great North Road,Avondale Auckland,,NZ,New Zealand,chickenrepublique.co.nz
0019000001GsAzW,My Kitchen Express Gourmet Chinese Takeaway & Delivery,446-450 Manukau Road,Epsom,,NZ,New Zealand,mykitchenexpress.co.nz
0019000001GsAzX,Mr Pot Taiwanese Restaurant & Takeaways - Mt Eden,340 Dominion Road,Mt Eden,1024,NZ,New Zealand,mrpot.co.nz
0019000001GsAzY,Spice Lounge (Indian Cuisine),"B, 15 Seaview Road",Paraparaumu Beach,,NZ,New Zealand,spiceloungekapiti.co.nz
0019000001GsAzZ,My Kitchen Chinese Takeaways & Deliveries,9A/ 350 Queen Street,Auckland CBD,,NZ,New Zealand,mykitchentakeaways.co.nz
0019000001GsAza,My Kitchen Taiwanese Restaurant & Takeaways,543 Dominion Road,Mt Eden / Auckland,1024,NZ,New Zealand,my-kitchen.co.nz
0019000001GsAoO,Matakana Village Takeaways,"17, 2 Matakana Valley  rd",Matakana,,NZ,New Zealand,matakanavillagetakeaways.co.nz
0019000001GsAoP,Delight Pizza - Papakura,15 O'shannessey Steet,Papakura,,NZ,New Zealand,delightpizza.co.nz
0019000001GsAoQ,Puttstix Cafe Bubble Tea House - Albany,9 Arrenway drv,Albany,,NZ,New Zealand,puttstixcafe.co.nz
0019000001GsAoR,Halal Fish Chips & Kebab,"2, 20 Westgate Shopping Centre",Massey North,,NZ,New Zealand,halalkebabs.co.nz
0019000001GsAoS,Halal Indian Cuisine,"2, 20 Fernhill Drive/ Westgate Shopping Centre",Massey North,,NZ,New Zealand,halalindiancuisine.co.nz
0019000001GsAoT,Sspice Indian Cuisine,152 Great South Road,Remuera,,NZ,New Zealand,sspice.co.nz
0019000001GsAoU,Halal Thai Cuisine,"2, 20 Fernhill Drive/ Westgate Shopping Centre",Massey North,,NZ,New Zealand,
0019000001GsAoV,Khao Mun Gai - Chinese Cuisine Halal,"2, 20 Fernhill Drive/ Westgate Shopping Centre",Massey North,,NZ,New Zealand,khaomungai.co.nz
0019000001GsAoW,Soha Spice Bombay,"2, 216 Mill Rd",Bombay,,NZ,New Zealand,sohaspice.co.nz
0019000001GsAoX,Riverside Grill - Mercer,"5, Mercer Service Centre, State Highway 1",Mercer,,NZ,New Zealand,riversidegrill.co.nz
0019000001GsAuX,Tasty Delights - Clover Park,"2, 18 Dissmeyer Drive",Clover Park,,NZ,New Zealand,tastydelights.co.nz
0019000001GsAuY,India Today on The Strand - Tauranga CBD,81 The Strand,Tauranga,,NZ,New Zealand,indiatoday.co.nz
0019000001GsAuZ,Jewel of Bombay - AUT Wellesley Street _ Auckland CBD,55 Wellesley Street East,Auckland CBD,,NZ,New Zealand,jewelofbombay.co.nz
0019000001GsAua,Jewel of Bombay - Metro Centre Auckaland CBD,291*/297 Queen Street,Auckland CBD,,NZ,New Zealand,jewelofbombay.co.nz
0019000001GsAub,Jewel of Bombay - Northcote,90 Akoranga Drive (AUT Akoranga Campus),Auckland CBD,,NZ,New Zealand,jewelofbombay.co.nz
0019000001GsAuc,"Pepper Board Indian Restaurant, Takeaways & Delivery - Papakura","7, 1 Prictor Street",Papakura,,NZ,New Zealand,pepperboardrestaurant.co.nz
0019000001GsAud,Jewel of Bombay - Grafton,9 Park Road,Grafton,,NZ,New Zealand,jewelofbombay.co.nz
0019000001GsAue,Jewel of India - University of Auckland _ Auckland CBD,30 Princess Street,Auckland CBD,,NZ,New Zealand,jewelofbombay.co.nz
0019000001GsAuf,Jewel of Bombay - Queen Street Auckland CBD,317 Queen Street,Auckland CBD,,NZ,New Zealand,jewelofbombay.co.nz
0019000001GsAug,Great Spice Indian - Papamoa Beach,"29, 7 Gravatt Road",Papamoa Beach,,NZ,New Zealand,greatspiceindian.co.nz
0019000001GsAwz,Shamiana Cuisines of India (Food Court) Westfield St Lukes - Mt Albert,"Level 1, 80 St Lukes rd",Mt Albert,1346,NZ,New Zealand,shamiana-indian.co.nz
0019000001GsAx0,Haru Japanese Cuisine - Albany,277 Dairy Flat Highway,Albany,632,NZ,New Zealand,harujapanese.co.nz
0019000001GsAx1,Rotti Hut - Mt Roskill,"Tulja Centre, 5/190 Stoddard Road",Mt Roskill,1041,NZ,New Zealand,rottihut.co.nz
0019000001GsAx2,Shamiana Cuisines of India (Food Court) Westfield 277 Newmarket _ Newmarket,"Level 2, 277 Broadway (Westfield 277 Newmarket)",Newmarket,,NZ,New Zealand,shamiana-indian.co.nz
0019000001GsAx3,The India Restaurant & Bar - Tuakau,"B, 37 George st",Tuakau,,NZ,New Zealand,theindiarestaurant.co.nz
0019000001GsAx4,"Tandoori Mahal Indian & Nepalese Restaurant, Dine in & Takeaway",331 Dominion rd,Mt Eden,,NZ,New Zealand,tandoorimahal.co.nz
0019000001GsAx5,Smokin Hot Pizza & Indian Takeaways - Kaikohe,63 Broadway st,Kaikohe,,NZ,New Zealand,smokinhotpizza.co.nz
0019000001GsAx6,Swad Indian Cuisine - Highland Park,9 Aviemore Drive,Highland Park,,NZ,New Zealand,
0019000001GsAx7,Lazeez Indian Takeaways & Deliveries,"6, 1 Halver Road
Off Great South Road
Behind the ASB Bank - Manurewa",Manurewa,2012,NZ,New Zealand,lazeezindiantakeaway.co.nz
0019000001GsAx8,Lazeez Indian Biryani Catering - Manurewa,"Unit 6 - 214 Great South Road, Manurewa (Behind the ASB)",Manurewa,2102,NZ,New Zealand,
0019000001GsAzb,Hungry Corner,"6, 15 Manson ave",Otahuhu,,NZ,New Zealand,hungrycorner.co.nz
0019000001GsAzc,Kabana Indian Takeaways & Deliveries Restaurant - Takapuna,"3, 335 Lake rd",Takapuna,,NZ,New Zealand,kabanaindiancuisine.co.nz
0019000001GsAzd,Zeytin @ the Mount - Mediterranean Cafe & Pizzeria,118 Maunganui rd,Mount Maunganui - BAY,,NZ,New Zealand,zeytinmountcafe.co.nz
0019000001GsB1B,King of India Takeaways & Delivery - Mairangi Bay,544 East Coast Bays rd,Mairangi Bay,,NZ,New Zealand,kingofindiatakeaways.co.nz
0019000001GsB1C,Love Dumpling - Auckland's Healthy Chinese,155 Symonds Street,Newton,1010,NZ,New Zealand,lovedumplings.co.nz
0019000001GsB1D,Go Waiter Home Delivery & Takeaways,"A, 10 West quay",Ahuriri,,NZ,New Zealand,gowaiter.co.nz
0019000001GsB1E,Go Waiter Office Delivery (Lunch Only),"A, 10 West quay",Ahuriri,,NZ,New Zealand,gowaiter.co.nz
0019000001GsB1F,Go Waiter Catering & Private Events,"A, 10 West quay",Ahuriri,,NZ,New Zealand,gowaiter.co.nz
0019000001GsB1G,Mr Pizza Helensville,68 Mill Road,Helensville,,NZ,New Zealand,mrpizza.co.nz
0019000001GsB1H,Queens Kebab - Panmure,129 Queens rd,Panmure,1072,NZ,New Zealand,queenskebab.co.nz
0019000001GsB1I,Basmala Libanese Food - Northcote,"6 - 10 Kilham Avenue (Northcote Town Centre, Food City)",Northcote - AUCK,,NZ,New Zealand,basmalalebanesefood.co.nz
0019000001GsAoY,Curry Leaf Kajol Helensville,"B, 12 Commerciall Rd",Helensville,,NZ,New Zealand,curryleafrestaurants.co.nz
0019000001GsAoZ,Poppadoms Indian Restaurant & Takeaways - New Lynn,"A, 26 Hutchinson Avenue",New Lynn,,NZ,New Zealand,poppadoms.co.nz
0019000001GsAoa,Curry Leaf Kajol Kumeu,250b Main rd,Kumeu,,NZ,New Zealand,curryleafrestaurants.co.nz
0019000001GsAob,Curry Hutt - Red Beach,"7, 42 Red Beach Shopping Centre",Red Beach,,NZ,New Zealand,curryhut.co.nz
0019000001GsAoc,Kamal Indian Cuisine - Papatoetoe,147 Great South Rd,Papatoetoe,,NZ,New Zealand,kamalindiancuisine.co.nz
0019000001GsAod,Halal Multi Cuisine Westgate,"2, 20 Fernhill Drive/ Westgate Shopping Centre",Massey,,NZ,New Zealand,halalmulticuisine.co.nz
0019000001GsAoe,Curry of India Takeaways & Deliveries - Devonport,"B, 71 Lake Road",Devonport,624,NZ,New Zealand,curryofindia.co.nz
0019000001GsAof,Airborne Food Bar,"C26, 14 Airborne Rd",Albany,,NZ,New Zealand,airbornechinesetakeaways.co.nz
0019000001GsAog,Thai Thani - Papamoa,"H, 30 Gravatt Rd",Papamoa,,NZ,New Zealand,thaithani.co.nz
0019000001GsAoh,Akbar Durbar,193 New Windsor ave,New Windsor,,NZ,New Zealand,akbardurbar.co.nz
0019000001GsAoi,Babas Curry Cafe,1 Puriri Rd,Whenuapai,618,NZ,New Zealand,babascurry.net.nz
0019000001GsAuh,Thai 2 Go,"5, 512 Maunganui Road",Mount Maunganui - BAY,,NZ,New Zealand,
